run_id,checkpoint,label,phase,path,size_bytes,sha256
M04_p113_s42,epoch_000000.pt,early (epoch 499),memorization,results/local_probe/M04_s42/checkpoints/epoch_000499.pt,5161005,590bd3622863a50e94d17300271cffe760e0338026820358930a05a3cc451276
M04_p113_s42,epoch_010000.pt,memorization plateau,plateau,results/local_probe/M04_s42/checkpoints/epoch_009999.pt,5161005,3e7852dfaea10662bf514d81c8ac4d7db48ec0f9aed84658713bf99af0b42b6b
M04_p113_s42,epoch_020000.pt,pre-grok,pre-grok,results/local_probe/M04_s42/checkpoints/epoch_019999.pt,5161005,e00840d95d221f4c7f2c2447f67526f886cdded06c0de6dcfe89a60e4bb92477
M04_p113_s42,epoch_022650.pt,T50 vicinity,circuit-formation,results/local_probe/M04_s42/checkpoints/epoch_022499.pt,5161005,a14c0d22971531b919b97ff894d32dfc012453578ca684d5b090dee51eabbf82
M04_p113_s42,epoch_026830.pt,T90 vicinity,circuit-formation,results/local_probe/M04_s42/checkpoints/epoch_026999.pt,5161005,989d2f5ab7498bddccd3aa1e391a45b862015e9c6dbd3a7b20e446ca27a3f210
M04_p113_s42,epoch_033320.pt,T99 vicinity,cleanup,results/local_probe/M04_s42/checkpoints/epoch_033499.pt,5161005,3b47751b538088566938e98efd2b3c148571ce72163122a5bb80c86d5503297e
M04_p113_s42,final.pt,final (epoch 37481),final,results/local_probe/M04_s42/checkpoints/final.pt,5154931,e854f684d0e214db78a665f07243a3be9dbee85c30bb2c95c71783eb7a779ca7
P113-iid_M04_s42,final.pt,prime-order IID final,final,experiments/prime113/P113-A_s42/checkpoints/final.pt,5154931,61c1940a01cecb5dc934e1f4db2139efc81a95886cdcbd8eb8632270dbb1d774
P113-ood_M04_s42,final.pt,prime-order OOD final,final,experiments/prime113/P113-OOD_s42/checkpoints/final.pt,5154995,8995440a65743ab0e54af66bab6550feeafad28c179642f8e60a94e7fbf51b6d
