Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M05, d_model=160, n_heads=5, n_layers=2
Params: 814,686 total, 618,560 core
WD: start=0.05, max=0.2391, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep      0 | tr=0.0017 te=0.0017 loss=6.7664 wd=0.0500 t=28.3s | c0(p=601)=0.00
  Ep    100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=90.4s | c0(p=601)=0.00
  Ep    200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=132.9s | c0(p=601)=0.00
  Ep    300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=149.7s | c0(p=601)=0.00
  Ep    400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=192.2s | c0(p=601)=0.00
  Ep    500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=209.9s | c0(p=601)=0.00
  Ep    600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=252.6s | c0(p=601)=0.00
  Ep    700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=269.3s | c0(p=601)=0.00
  Ep    800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=312.6s | c0(p=601)=0.00
  Ep    900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=332.2s | c0(p=601)=0.00
  Ep   1000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=377.0s | c0(p=601)=0.00
  Ep   1100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=395.4s | c0(p=601)=0.00
  Ep   1200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=439.2s | c0(p=601)=0.00
  Ep   1300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=456.9s | c0(p=601)=0.00
  Ep   1400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=499.7s | c0(p=601)=0.00
  Ep   1500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=516.6s | c0(p=601)=0.00
  Ep   1600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=558.3s | c0(p=601)=0.00
  Ep   1700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=575.7s | c0(p=601)=0.00
  Ep   1800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=619.1s | c0(p=601)=0.00
  Ep   1900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=637.0s | c0(p=601)=0.00
  Ep   2000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=679.9s | c0(p=601)=0.00
  Ep   2100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=698.1s | c0(p=601)=0.00
  Ep   2200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=741.4s | c0(p=601)=0.00
  Ep   2300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=759.5s | c0(p=601)=0.00
  Ep   2400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=802.9s | c0(p=601)=0.00
  Ep   2500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=820.4s | c0(p=601)=0.00
  Ep   2600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=863.5s | c0(p=601)=0.00
  Ep   2700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=880.4s | c0(p=601)=0.00
  Ep   2800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=923.9s | c0(p=601)=0.00
  Ep   2900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=941.4s | c0(p=601)=0.00
  Ep   3000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=985.9s | c0(p=601)=0.00
  Ep   3100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1002.8s | c0(p=601)=0.00
  Ep   3200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1046.1s | c0(p=601)=0.00
  Ep   3300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1063.6s | c0(p=601)=0.00
  Ep   3400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1107.2s | c0(p=601)=0.00
  Ep   3500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1124.0s | c0(p=601)=0.00
  Ep   3600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1167.3s | c0(p=601)=0.00
  Ep   3700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1184.6s | c0(p=601)=0.00
  Ep   3800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1227.7s | c0(p=601)=0.00
  Ep   3900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1244.4s | c0(p=601)=0.00
  Ep   4000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1288.0s | c0(p=601)=0.00
  Ep   4100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1305.4s | c0(p=601)=0.00
