Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M04, d_model=128, n_heads=4, n_layers=2
Params: 553,566 total, 396,544 core
WD: start=0.05, max=0.2987, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep   4800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1245.0s | c0(p=601)=0.00
  Ep   4900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1257.4s | c0(p=601)=0.00
  Ep   5000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1295.3s | c0(p=601)=0.00
  Ep   5100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1307.7s | c0(p=601)=0.00
  Ep   5200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1345.9s | c0(p=601)=0.00
  Ep   5300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1358.3s | c0(p=601)=0.00
  Ep   5400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1396.3s | c0(p=601)=0.00
  Ep   5500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1408.8s | c0(p=601)=0.00
  Ep   5600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1447.3s | c0(p=601)=0.00
  Ep   5700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1459.9s | c0(p=601)=0.00
  Ep   5800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1498.2s | c0(p=601)=0.00
  Ep   5900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1510.8s | c0(p=601)=0.00
  Ep   6000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1552.1s | c0(p=601)=0.00
  Ep   6100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1564.9s | c0(p=601)=0.00
  Ep   6200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1605.7s | c0(p=601)=0.00
  Ep   6300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1618.5s | c0(p=601)=0.00
  Ep   6400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1658.5s | c0(p=601)=0.00
  Ep   6500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1671.3s | c0(p=601)=0.00
  Ep   6600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1713.4s | c0(p=601)=0.00
  Ep   6700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1725.8s | c0(p=601)=0.00
  Ep   6800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1763.9s | c0(p=601)=0.00
  Ep   6900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1776.4s | c0(p=601)=0.00
  Ep   7000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1814.8s | c0(p=601)=0.00
  Ep   7100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1827.2s | c0(p=601)=0.00
  Ep   7200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1865.7s | c0(p=601)=0.00
  Ep   7300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1878.1s | c0(p=601)=0.00
  Ep   7400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1915.9s | c0(p=601)=0.00
  Ep   7500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1928.3s | c0(p=601)=0.00
  Ep   7600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1966.7s | c0(p=601)=0.00
  Ep   7700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=1979.1s | c0(p=601)=0.00
  Ep   7800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2016.8s | c0(p=601)=0.00
  Ep   7900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2029.2s | c0(p=601)=0.00
  Ep   8000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2067.8s | c0(p=601)=0.00
  Ep   8100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2080.2s | c0(p=601)=0.00
  Ep   8200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2118.2s | c0(p=601)=0.00
  Ep   8300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2130.6s | c0(p=601)=0.00
  Ep   8400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2169.2s | c0(p=601)=0.00
  Ep   8500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2181.6s | c0(p=601)=0.00
  Ep   8600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2219.4s | c0(p=601)=0.00
  Ep   8700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2231.9s | c0(p=601)=0.00
  Ep   8800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2270.3s | c0(p=601)=0.00
  Ep   8900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2282.7s | c0(p=601)=0.00
  Ep   9000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2320.8s | c0(p=601)=0.00
  Ep   9100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2333.2s | c0(p=601)=0.00
  Ep   9200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2371.4s | c0(p=601)=0.00
  Ep   9300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2383.8s | c0(p=601)=0.00
  Ep   9400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2422.4s | c0(p=601)=0.00
  Ep   9500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2434.8s | c0(p=601)=0.00
  Ep   9600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2473.3s | c0(p=601)=0.00
  Ep   9700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2485.8s | c0(p=601)=0.00
  Ep   9800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2524.3s | c0(p=601)=0.00
  Ep   9900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2536.7s | c0(p=601)=0.00
  Ep  10000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2575.2s | c0(p=601)=0.00
  Ep  10100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2587.6s | c0(p=601)=0.00
  Ep  10200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2625.8s | c0(p=601)=0.00
  Ep  10300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2638.3s | c0(p=601)=0.00
  Ep  10400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2676.8s | c0(p=601)=0.00
  Ep  10500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2689.1s | c0(p=601)=0.00
  Ep  10600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2727.3s | c0(p=601)=0.00
  Ep  10700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2739.8s | c0(p=601)=0.00
  Ep  10800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2778.1s | c0(p=601)=0.00
  Ep  10900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2790.5s | c0(p=601)=0.00
  Ep  11000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2829.1s | c0(p=601)=0.00
  Ep  11100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2841.5s | c0(p=601)=0.00
  Ep  11200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2879.9s | c0(p=601)=0.00
  Ep  11300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2892.4s | c0(p=601)=0.00
  Ep  11400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2930.8s | c0(p=601)=0.00
  Ep  11500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2943.2s | c0(p=601)=0.00
  Ep  11600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2981.6s | c0(p=601)=0.00
  Ep  11700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=2994.1s | c0(p=601)=0.00
  Ep  11800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3032.3s | c0(p=601)=0.00
  Ep  11900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3044.7s | c0(p=601)=0.00
  Ep  12000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3083.1s | c0(p=601)=0.00
  Ep  12100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3095.5s | c0(p=601)=0.00
  Ep  12200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3133.9s | c0(p=601)=0.00
  Ep  12300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3146.3s | c0(p=601)=0.00
  Ep  12400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3184.0s | c0(p=601)=0.00
  Ep  12500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3196.4s | c0(p=601)=0.00
  Ep  12600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3234.7s | c0(p=601)=0.00
  Ep  12700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3247.2s | c0(p=601)=0.00
  Ep  12800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3285.0s | c0(p=601)=0.00
  Ep  12900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3297.4s | c0(p=601)=0.00
  Ep  13000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3335.2s | c0(p=601)=0.00
  Ep  13100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3347.6s | c0(p=601)=0.00
  Ep  13200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3386.0s | c0(p=601)=0.00
  Ep  13300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3398.5s | c0(p=601)=0.00
  Ep  13400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3436.7s | c0(p=601)=0.00
  Ep  13500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3449.1s | c0(p=601)=0.00
  Ep  13600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3487.4s | c0(p=601)=0.00
  Ep  13700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3499.8s | c0(p=601)=0.00
  Ep  13800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3538.1s | c0(p=601)=0.00
  Ep  13900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3550.5s | c0(p=601)=0.00
  Ep  14000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3588.9s | c0(p=601)=0.00
  Ep  14100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3601.3s | c0(p=601)=0.00
  Ep  14200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3639.8s | c0(p=601)=0.00
  Ep  14300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3652.2s | c0(p=601)=0.00
  Ep  14400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3689.8s | c0(p=601)=0.00
  Ep  14500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3703.4s | c0(p=601)=0.00
  Ep  14600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3742.7s | c0(p=601)=0.00
  Ep  14700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3755.1s | c0(p=601)=0.00
  Ep  14800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3792.2s | c0(p=601)=0.00
  Ep  14900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3809.5s | c0(p=601)=0.00
  Ep  14999 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3851.7s | c0(p=601)=0.00

================================================================================
Training complete: 15000 epochs in 3851.7s
Best test acc: 0.0018
Per-curve final:
  Curve 0 (p=601): 0.0000 FAILED
All curves grokked: False
================================================================================
