Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M04, d_model=128, n_heads=4, n_layers=2
Params: 553,566 total, 396,544 core
WD: start=0.05, max=0.2987, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep      0 | tr=0.0016 te=0.0018 loss=6.8319 wd=0.0500 t=29.9s | c0(p=601)=0.00
  Ep    100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=51.3s | c0(p=601)=0.00
  Ep    200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=92.7s | c0(p=601)=0.00
  Ep    300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=105.3s | c0(p=601)=0.00
  Ep    400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=143.3s | c0(p=601)=0.00
  Ep    500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=156.0s | c0(p=601)=0.00
  Ep    600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=195.0s | c0(p=601)=0.00
  Ep    700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=207.6s | c0(p=601)=0.00
  Ep    800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=245.7s | c0(p=601)=0.00
  Ep    900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=258.1s | c0(p=601)=0.00
  Ep   1000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=296.3s | c0(p=601)=0.00
  Ep   1100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=308.7s | c0(p=601)=0.00
